,ATC,tensor
11,DP12,"-0.04575999453663826, -0.06338999420404434, 0.00954937282949686, 0.032653216272592545, -0.4113883674144745, 0.2554180324077606, 0.03157271072268486, 0.0694514811038971, 0.030955033376812935, -0.2677583694458008, -0.1348806768655777, 0.3990165889263153, 0.3630758225917816, -0.5546775460243225, 0.3261614143848419, -0.0015338881639763713, -0.17498669028282166, -0.11118821054697037, -0.5408371090888977, -0.1771707832813263, -0.2181335687637329, 0.0001446503447368741, 0.06392976641654968, -0.06149515509605408, 0.1549508273601532, 0.1937149614095688, -0.0870266705751419, -0.4890584647655487, 0.15619665384292603, 0.043170634657144547, 0.1100013256072998, 0.03643413633108139, 0.017375832423567772, -0.04443774372339249, -0.17471325397491455, 0.2341817319393158, -0.04761327803134918, -0.10888119786977768, 0.03063400648534298, 0.1313052773475647, 0.1259242445230484, -0.15396161377429962, -0.25185737013816833, 0.17169877886772156, 0.13233569264411926, 0.2883560061454773, 0.20667967200279236, -0.1364157497882843, 0.06282376497983932, -0.16135410964488983, -0.06310535222291946, -0.40323740243911743, 0.3088848888874054, 0.11600207537412643, 0.21209825575351715, 0.20427456498146057, 0.26784253120422363, 0.2621847689151764, -0.1233048290014267, 0.29161563515663147, 0.0037859189324080944, 0.40382707118988037, 0.39628228545188904, 0.1777011752128601]"
12,DP13,"0.1588742733001709, -0.4533711373806, -0.26489773392677307, -0.2270703911781311, -0.20078065991401672, -0.05125708505511284, -0.13008888065814972, -0.1912078857421875, 0.05739558860659599, -0.05222659930586815, -0.0034419975709170103, 0.4982377588748932, 0.14969724416732788, -0.42589351534843445, 0.6067696809768677, 0.0006250936421565711, 0.10813829302787781, 0.018283642828464508, -0.20633047819137573, -0.04895183816552162, -0.3348878026008606, -0.32666364312171936, 0.09823959320783615, -0.020512767136096954, -0.059734050184488297, -0.09051109105348587, 0.08553573489189148, -0.5079476833343506, 0.04758988693356514, 0.2633204460144043, 0.05149821192026138, 0.07068641483783722, 0.08924051374197006, 0.09149530529975891, 0.07130663841962814, -0.041720155626535416, 0.29123154282569885, 0.1733788549900055, 0.28541743755340576, 0.13602812588214874, 0.04692307114601135, -0.18815496563911438, -0.24610430002212524, 0.14378300309181213, 0.13406746089458466, 0.38230159878730774, 0.018677644431591034, -0.2926172912120819, 0.17563983798027039, -0.1330268830060959, -0.2734590172767639, -0.08654579520225525, 0.6641274094581604, -0.09187942743301392, 0.0769975408911705, 0.08490698039531708, -0.07874392718076706, -0.10972636193037033, 0.17287255823612213, 0.13934125006198883, -0.030319832265377045, -0.30714350938796997, 0.13462303578853607, 0.17339573800563812]"
13,DP14,"-0.3255561292171478, 0.008723405189812183, -0.25852611660957336, 0.0716380625963211, 0.47703900933265686, 0.1457843780517578, 0.13265377283096313, -0.4487683176994324, -0.11897890269756317, -0.20173229277133942, -0.3441700339317322, 0.26629817485809326, 0.17232804000377655, 0.24498312175273895, 0.5476198792457581, -0.27045074105262756, 0.16360825300216675, -0.23000289499759674, -0.25955119729042053, -0.08219639956951141, -0.23768705129623413, -0.564050018787384, -0.23662663996219635, -0.0484052374958992, 0.25108426809310913, 0.09021340310573578, 0.35784071683883667, -0.33575722575187683, 0.22277472913265228, 0.28731802105903625, 0.07179713249206543, -0.040273215621709824, 0.05384427681565285, -0.20070745050907135, 0.052566252648830414, 0.025162745267152786, -0.1432841718196869, -0.16920895874500275, 0.14698342978954315, 0.22127895057201385, 0.15646296739578247, -0.12230424582958221, -0.3729528784751892, 0.03371136263012886, 0.3876109719276428, 0.40973371267318726, -0.056938961148262024, 0.08147423714399338, 0.31960535049438477, -0.22553354501724243, 0.028933336958289146, 0.10158433765172958, 0.6020932793617249, 0.11445720493793488, 0.6642224192619324, 0.03171776235103607, 0.16023039817810059, -0.21095001697540283, 0.2645394802093506, 0.5026195645332336, -0.13474418222904205, 0.015322909690439701, 0.2791564166545868, 0.020113684237003326]"
14,DP15,"0.34441474080085754, -0.28153038024902344, -0.545012891292572, -0.09166528284549713, -0.15600313246250153, -0.093071348965168, 0.2582489252090454, 0.3467671871185303, -0.12903934717178345, -0.04662473872303963, -0.19579017162322998, 0.29803043603897095, -0.10614356398582458, 0.06652370095252991, -0.07349635660648346, 0.42160850763320923, -0.08233562111854553, 0.21564874053001404, -0.14432115852832794, -0.06618713587522507, -0.1220308169722557, 0.2701321244239807, -0.2416045367717743, -0.0625450536608696, -0.021954424679279327, 0.05767759680747986, 0.3180432617664337, -0.2851196229457855, 0.03753325715661049, 0.1500633805990219, 0.13821595907211304, 0.16962306201457977, -0.13031792640686035, -0.1221516951918602, -0.08159155398607254, 0.11797771602869034, -0.10029161721467972, 0.34756726026535034, 0.21701164543628693, 0.16161119937896729, 0.013363135978579521, -0.21073101460933685, 0.017265964299440384, 0.09599194675683975, 0.30127885937690735, 0.22536051273345947, 0.03627840429544449, -0.20979152619838715, 0.15626715123653412, -0.25873181223869324, 0.003945434466004372, -0.19952289760112762, -0.0688820332288742, 0.4489368796348572, 0.49422475695610046, 0.3350276052951813, 0.3895524740219116, -0.17802265286445618, 0.058473385870456696, 0.8801664710044861, -0.25551682710647583, 0.043391160666942596, 0.23073919117450714, 0.3140091896057129]"
15,DP16,"0.036974359303712845, 0.5198352336883545, -0.02378484606742859, 0.09434603899717331, 0.08342266082763672, -0.14772306382656097, 0.17842626571655273, 0.5301050543785095, 0.15608006715774536, 0.18021415174007416, 0.6122247576713562, 0.035667553544044495, -0.0031850773375481367, 0.027324339374899864, 0.14743466675281525, 0.5971486568450928, -0.0426957830786705, 0.2648392617702484, -0.17377188801765442, -0.08243938535451889, -0.0526277981698513, -0.4153774082660675, 0.24108381569385529, 0.08030407875776291, 0.14340709149837494, 0.07159990817308426, -0.07559418678283691, 0.06573282182216644, 0.11034902185201645, -0.08893871307373047, -0.08404514938592911, 0.10716722160577774, 0.3746025264263153, -0.27393659949302673, 0.22277912497520447, -0.06122975796461105, 0.04520206153392792, 0.07780569046735764, -0.4227176606655121, -0.5488490462303162, -0.17556232213974, -0.05814976245164871, 0.1938830465078354, 0.030730048194527626, 0.05503661558032036, 0.0552094429731369, 0.12016020715236664, 0.004146338440477848, -0.13824985921382904, 0.4257628619670868, 0.097638338804245, -0.29042837023735046, 0.5096920132637024, 0.028953062370419502, -0.24830281734466553, -0.38567614555358887, 0.1637609750032425, -0.1602141112089157, 0.2566013038158417, -0.242543026804924, 0.08303942531347275, 0.07891321927309036, 0.06755487620830536, 0.19881951808929443]"
16,DP17,"-0.020071517676115036, -0.20794212818145752, 0.149826318025589, -0.10052227973937988, 0.32413598895072937, -0.1501445174217224, -0.09361298382282257, -0.6096082925796509, -0.013604464940726757, -0.055588215589523315, -0.08251476287841797, 0.11126198619604111, -0.1524103879928589, -0.2841118574142456, 0.02560092881321907, -0.08942010998725891, 0.12019789218902588, 0.11290804296731949, 0.26134082674980164, 0.3605130612850189, 0.2855590581893921, -0.021226154640316963, -0.17888730764389038, 0.04475599527359009, 0.41869115829467773, 0.19139321148395538, 0.05106155574321747, -0.16504020988941193, -0.09602756053209305, -0.08137144893407822, 0.03314808011054993, 0.18696360290050507, -0.1315007507801056, -0.12350515276193619, 0.10643939673900604, -0.05229984223842621, 0.13518890738487244, 0.4839840531349182, -0.017832893878221512, 0.027485838159918785, -0.3957785665988922, 0.5796425342559814, 0.12137234210968018, 0.009438935667276382, -0.05958974361419678, -0.17506113648414612, 0.14398528635501862, 0.05847930163145065, 0.234976664185524, -0.1220238208770752, 0.0009399225818924606, 0.04590575024485588, 0.08413579314947128, -0.15313498675823212, -0.246123269200325, -0.19987410306930542, -0.198297917842865, -0.6634386777877808, -0.11449902504682541, 0.29731616377830505, 0.21442344784736633, -0.19041898846626282, -0.44921448826789856, -0.008970157243311405]"
17,DP18,"-0.08786244690418243, -0.1740017533302307, 0.003609539708122611, 0.06871142238378525, 0.5567412972450256, 0.02780449017882347, 0.6470922231674194, 0.2646220326423645, 0.6626978516578674, 0.3099977672100067, 1.0995291471481323, 0.4554236829280853, 0.0004497613408602774, -0.3478831350803375, 0.03653485327959061, 0.021924734115600586, 0.021252812817692757, -0.07782495766878128, 0.009797015227377415, -0.025999899953603745, 0.0683341920375824, -0.41782888770103455, -0.17436814308166504, -0.2081662118434906, 0.18025270104408264, 0.07254087924957275, 0.18330444395542145, -0.24289783835411072, 0.12839938700199127, 0.1206677258014679, 0.12759394943714142, 0.0974273681640625, 0.19609881937503815, -0.11970000714063644, 0.07666761428117752, 0.035575080662965775, -0.06373769044876099, -0.47290152311325073, 0.2487953007221222, -0.1002260148525238, -0.3859775960445404, 0.04117017984390259, 0.32606077194213867, 0.12341191619634628, -0.14912882447242737, -0.17516681551933289, 0.09102751314640045, 0.24937397241592407, -0.09830191731452942, -0.2810266315937042, -0.22724272310733795, 0.06135379150509834, 0.48001930117607117, 0.0164139773696661, 0.16587845981121063, 0.08001222461462021, -0.1266426146030426, -0.3972080647945404, -0.026686683297157288, 0.22519175708293915, -0.1580142378807068, -0.2369765043258667, -0.152391716837883, -0.4979548454284668]"
18,DP19,"-0.09560015797615051, -0.05029264837503433, -0.3975319266319275, -0.03539753332734108, 0.005095934495329857, -0.1775636523962021, 0.6467036604881287, -0.20732806622982025, -0.2114536464214325, -0.06034182012081146, 0.2127346247434616, 0.014180013909935951, 0.3641173243522644, 0.1845339834690094, -0.2491910755634308, -0.31925490498542786, -0.49959179759025574, 0.3813612461090088, 0.14904248714447021, 0.22371850907802582, 0.3113113343715668, -0.4348757565021515, -0.36077386140823364, -0.3705984354019165, -0.23023855686187744, 0.029502680525183678, -0.128365620970726, 0.33076149225234985, -0.05286765843629837, -0.6683483123779297, -0.008916465565562248, 0.20127390325069427, 0.23194047808647156, 0.8168613910675049, -0.6152499914169312, 0.2453339695930481, -0.12785127758979797, 0.035612691193819046, -0.43956366181373596, -0.052939314395189285, 0.15843863785266876, -0.09513652324676514, -0.46418526768684387, -0.25000056624412537, 0.28936657309532166, 0.32155221700668335, -0.1799573302268982, -0.11685392260551453, -0.35175660252571106, 0.5934464335441589, -0.6042323708534241, 0.5634597539901733, -0.14165428280830383, 0.35344067215919495, 0.5592586398124695, 0.2820347547531128, 0.10620957612991333, -0.12725748121738434, 0.017190011218190193, 0.22566820681095123, -0.21831704676151276, -0.44491130113601685, 0.17500276863574982, -0.26970410346984863]"
21,DP22,"0.12883321940898895, 0.5463242530822754, 0.31124940514564514, 0.28733688592910767, 0.15762417018413544, 0.041865743696689606, 0.20292586088180542, 0.5143743753433228, 0.22102685272693634, 0.23162053525447845, -0.21854235231876373, 0.33548885583877563, 0.0009076960268430412, 0.22771163284778595, -0.14649327099323273, -0.25867959856987, -0.26187601685523987, 0.1727370023727417, -0.1634480506181717, 0.02073923498392105, 0.2006750851869583, 0.047609273344278336, -0.3293807804584503, -0.2985501289367676, -0.2330760359764099, -0.17732644081115723, 0.06300448626279831, -0.1636158525943756, -0.10708921402692795, 0.18320223689079285, -0.0929909199476242, -0.05717631056904793, -0.19126738607883453, -0.23056082427501678, 0.3355584144592285, 0.22239156067371368, -0.026541246101260185, 0.3124155104160309, 0.21261441707611084, -0.14524255692958832, 0.019745269790291786, 0.3222995698451996, -0.20200176537036896, 0.10159233957529068, -0.19132660329341888, 0.5380547642707825, 0.12145432084798813, 0.18329696357250214, 0.08973748236894608, 0.02521299384534359, -0.22867494821548462, -0.2340017408132553, 0.5076851844787598, 0.17391611635684967, -0.01193283125758171, 0.012318126857280731, -0.40469470620155334, -0.2061164230108261, 0.1763429194688797, 0.4477027356624603, 0.12833274900913239, 0.14731259644031525, 0.371507465839386, 0.16278189420700073]"
22,DP23,"-0.06049495190382004, 0.12258684635162354, 0.07125147432088852, 0.12807729840278625, -0.07432755082845688, -0.04531896859407425, 0.2412784844636917, 0.5747168660163879, 0.1076749935746193, 0.5213415622711182, -0.188185453414917, -0.6021843552589417, -0.15937945246696472, -0.15976762771606445, -0.05840351805090904, 0.049831822514534, 0.07181652635335922, 0.12535583972930908, -0.14330166578292847, -0.06120190769433975, -0.25267115235328674, -0.4826532304286957, -0.06799914687871933, -0.11768975108861923, -0.09273269772529602, 0.30149537324905396, 0.18198496103286743, -0.12662877142429352, 0.13576048612594604, -0.3745846748352051, 0.11255807429552078, 0.049253735691308975, -0.2164316028356552, 0.47469019889831543, 0.2157593071460724, 0.1753920316696167, 0.622201144695282, -0.14743858575820923, -0.5159651041030884, -0.12994128465652466, 0.16836139559745789, 0.3886134922504425, 0.6575737595558167, 0.36204853653907776, -0.3113904297351837, -0.4006820619106293, -0.10784311592578888, 0.01783101260662079, -0.42881688475608826, 0.1610856056213379, -0.579888641834259, 0.5745105147361755, -0.15554186701774597, 0.21042396128177643, -0.32907751202583313, -0.041547294706106186, -0.26753705739974976, -0.0966012254357338, -0.09142637252807617, 0.19782163202762604, 0.07771776616573334, 0.2111763209104538, -0.3318001925945282, -0.33932700753211975]"
