,ATC,tensor
159,2724,"0.10623830556869507, -0.515924334526062, 0.2943752408027649, -0.2804761528968811, 0.0900956466794014, -0.1256318837404251, 0.04334810748696327, -0.06623095273971558, -0.08511696010828018, 0.08945333957672119, -0.2436133176088333, -0.24946223199367523, 0.18763643503189087, -0.05381341651082039, 0.3811708390712738, -0.21768592298030853, -0.014985607005655766, 0.010575324296951294, -0.21279336512088776, 0.00784124806523323, 0.7172316908836365, 0.4217601716518402, 0.19089646637439728, 0.3939037024974823, 0.38343217968940735, 0.1814008206129074, -0.5134470462799072, -0.2454671561717987, 0.16367147862911224, -0.3427121043205261, 0.012466895394027233, 0.2543447017669678, -0.21926668286323547, 0.05337178707122803, -0.006689904723316431, 0.003973999060690403, 0.14515037834644318, 0.3654128909111023, -0.18511797487735748, 0.41139331459999084, 0.5767344832420349, -0.476076602935791, -0.10917804390192032, 0.005795504432171583, 0.31354600191116333, 0.49823543429374695, -0.007922361604869366, -0.06444477289915085, -0.11528374999761581, -0.027605712413787842, 0.08508622646331787, -0.4448229968547821, 0.7185592651367188, 0.41529756784439087, 0.2461574822664261, -0.016907982528209686, -0.27714285254478455, 0.33526647090911865, -0.02209879457950592, -0.3382645845413208, 0.11667482554912567, 0.18380554020404816, -0.12306004762649536, -0.2953673005104065]"
160,4280,"-0.2648414075374603, 0.19351156055927277, 0.34258168935775757, -0.11199769377708435, -0.49171188473701477, 0.22889985144138336, 0.05512917414307594, 0.16120412945747375, 0.096054807305336, 0.11823230236768723, 0.21834352612495422, -0.09315269440412521, -0.16532476246356964, 0.06911875307559967, -0.24092014133930206, -0.035209719091653824, 0.20605067908763885, 0.08971309661865234, -0.03740474209189415, -0.037985339760780334, -0.12133088707923889, -0.3831815719604492, 0.06115512549877167, -0.07164864242076874, -0.15828321874141693, 0.07945835590362549, 0.06052241101861, -0.3371540904045105, -0.4293045699596405, 0.2965948283672333, -0.11053797602653503, 0.07750649750232697, -0.16679193079471588, -0.08910557627677917, -0.08570869266986847, 0.15214018523693085, 0.06907173246145248, 0.22469043731689453, -0.005835678428411484, -0.0715419128537178, 0.17186905443668365, 0.012058600783348083, -0.4186277985572815, 0.19362351298332214, 0.05764904245734215, -0.024815218523144722, 0.1828589290380478, -0.06128105893731117, -0.12594327330589294, 0.05173373594880104, -0.12294063717126846, -0.04085695371031761, -0.25051674246788025, 0.10332299768924713, 0.07284307479858398, -0.057860326021909714, 0.24674531817436218, 0.2915058135986328, -0.24138639867305756, 0.21783705055713654, -0.01996350660920143, -0.07635955512523651, 0.16738258302211761, 0.20725803077220917]"
161,4289,"-0.01742333360016346, 0.07171697169542313, 0.30290788412094116, -0.11548668891191483, -0.5624973773956299, 0.20550522208213806, 0.016852324828505516, 0.261894166469574, 0.19196543097496033, -0.043093789368867874, 0.2962431311607361, 0.0021363517735153437, 0.11720184236764908, 0.05053267627954483, -0.19254973530769348, 0.019526436924934387, -0.04358241334557533, -0.1778765171766281, -0.1309942752122879, -0.26424354314804077, -0.011886289343237877, -0.44521015882492065, 0.12250524014234543, -0.013108385726809502, 0.07071885466575623, -0.16586185991764069, 0.11840005218982697, -0.5804145336151123, -0.02120545133948326, 0.132472962141037, -0.2625460922718048, 0.3341538906097412, 0.12100792676210403, -0.029883166775107384, 0.015699760988354683, 0.1222366914153099, 0.08524724096059799, 0.12010211497545242, 0.09248919785022736, -0.22280114889144897, 0.19621208310127258, -0.10464662313461304, -0.27879196405410767, 0.2647247016429901, -0.2241467833518982, 0.1301233470439911, -0.06313781440258026, -0.037693921476602554, -0.3053235113620758, 0.215090811252594, -0.17414042353630066, 0.15959200263023376, -0.12474159896373749, 0.10747292637825012, 0.019169455394148827, -0.10093116015195847, 0.23864120244979858, 0.08000538498163223, -0.1842317134141922, 0.3410601317882538, -0.14130799472332, -0.15294067561626434, 0.07220681011676788, -0.06915710866451263]"
162,4580,"-0.2207806408405304, -0.08762729912996292, 0.743840217590332, -0.4585908353328705, -0.5079532265663147, -0.2516990303993225, 0.13329529762268066, 0.06622982770204544, 0.10014042258262634, -0.5093029141426086, 0.10631469637155533, -0.148159459233284, 0.25983208417892456, 0.3238571286201477, -0.07918605208396912, -0.3275690972805023, -0.6474121809005737, 0.016565879806876183, 0.02580658532679081, 0.026947930455207825, 0.27676424384117126, 0.008166936226189137, 0.06205728277564049, -0.1024179756641388, -0.32840949296951294, 0.25466111302375793, -0.24932023882865906, -0.10743319988250732, -0.22205980122089386, -0.06417211890220642, 0.08967070281505585, 0.20184171199798584, -0.20461998879909515, -0.516586184501648, 0.11274608224630356, -0.3861563503742218, 0.11125551164150238, 0.2138575166463852, -0.5797451138496399, 0.30391985177993774, 0.39900466799736023, -0.07539670169353485, -0.45638683438301086, 0.23001018166542053, 0.1510009467601776, 0.05864863097667694, -0.08139592409133911, -0.24325308203697205, -0.14785276353359222, -0.6999148726463318, -0.2723725736141205, -0.31635040044784546, -0.1763596385717392, -0.3004066050052643, -0.1563173532485962, 0.17341814935207367, -0.3123091459274292, -0.26038679480552673, -0.09433054178953171, 0.3451785445213318, -0.114418625831604, 0.41195493936538696, 0.19015076756477356, -0.11036320775747299]"
164,6010,"0.2933606803417206, -0.3036702275276184, 0.12699048221111298, 0.282338410615921, 0.2113160640001297, 0.2300056368112564, 0.09356195479631424, 0.5478786826133728, -0.3927469551563263, 0.4640970230102539, 0.157175675034523, -0.09257453680038452, -0.02898992970585823, -0.08554551750421524, 0.20221635699272156, 0.1281764805316925, -0.2768641710281372, -0.15385159850120544, 0.3221551775932312, 0.1668480932712555, 0.4341408610343933, 0.2991868257522583, 0.03294266015291214, -0.233499675989151, 0.0634646862745285, 0.44696715474128723, 0.22073626518249512, 0.11841331422328949, 0.2314942330121994, 0.2892621159553528, -0.23404496908187866, -0.04478337615728378, 0.10389945656061172, -0.002982456237077713, -0.1437842845916748, 0.07170362770557404, -0.34011152386665344, 0.23172599077224731, 0.1342504620552063, 0.349213182926178, 0.30194562673568726, -0.47427383065223694, -0.32154178619384766, -0.5714168548583984, 0.21637336909770966, 0.24689838290214539, 0.14860650897026062, 0.062713623046875, -0.0030323832761496305, -0.034592967480421066, -0.3006826937198639, -0.3439197540283203, 0.7609997391700745, 0.3668423891067505, -0.11670663207769394, 0.25884291529655457, 0.3337743282318115, 0.3067326247692108, 0.3330133259296417, 0.16750596463680267, -0.3266333043575287, 0.24293243885040283, 0.39124417304992676, -0.5449774861335754]"
168,6018,"-0.04071700945496559, -0.12387874722480774, 0.08186008781194687, 0.12630987167358398, 0.263763427734375, 0.10025384277105331, -0.002791158389300108, 0.3882468044757843, -0.03992821276187897, 0.004620986524969339, 0.3173351585865021, -0.5891793966293335, -0.24546150863170624, 0.3148042559623718, -0.27466678619384766, -0.11966744810342789, -0.4310187101364136, -0.27741026878356934, -0.010930483229458332, 0.09114038199186325, 0.67258620262146, 0.2788965404033661, -0.10267577320337296, 0.15898354351520538, 0.5430517196655273, 0.28676149249076843, 0.15571817755699158, -0.11734885722398758, -0.21960194408893585, -0.04629402980208397, 0.17589525878429413, -0.047988180071115494, 0.0379733070731163, 0.03208335116505623, -0.1854429841041565, -0.14118050038814545, -0.009290238842368126, 0.17551985383033752, 0.11392658948898315, 0.34339648485183716, 0.7394423484802246, -0.2446240484714508, -0.02687910385429859, 0.03587765991687775, 0.12660029530525208, 0.11483797430992126, 0.1888704001903534, 0.1866694986820221, -0.12023244798183441, -0.1910252571105957, -0.17496155202388763, 0.0758085697889328, 0.3505878448486328, -0.03372979536652565, 0.2709866464138031, -0.09296532720327377, 0.004501657094806433, 0.25653642416000366, 0.22867313027381897, 0.17510132491588593, 0.22664478421211243, 0.21740961074829102, -0.24104715883731842, -0.45412778854370117]"
169,6019,"-0.25781217217445374, 0.031417082995176315, -0.3542165756225586, 0.02313501201570034, 0.13086220622062683, -0.10590729862451553, 0.13947929441928864, 0.20180049538612366, 0.246233731508255, 0.15932810306549072, 0.027656178921461105, -0.3485244810581207, -0.03469133749604225, -0.12230927497148514, 0.017379874363541603, 0.01908624731004238, -0.22291088104248047, -0.0937877669930458, -0.058350589126348495, -0.07469842582941055, 0.62664395570755, 0.4727589786052704, 0.03664156422019005, -0.11840739101171494, 0.19740019738674164, 0.14624325931072235, 0.11464066058397293, 0.011131186969578266, -0.0837584137916565, 0.0017795506864786148, -0.04198499396443367, 0.02674534171819687, 0.04411118105053902, -0.00016191527538467199, -0.1449546217918396, 0.023707542568445206, -0.06658097356557846, 0.10941583663225174, 0.0649556890130043, 0.5055195093154907, 0.6035317778587341, -0.35461321473121643, -0.038205452263355255, -0.07712162286043167, 0.07334364205598831, -0.25628820061683655, 0.05893385782837868, -0.02645881660282612, 0.13940662145614624, -0.2185746282339096, -0.15500491857528687, -0.3916016221046448, 0.5654094219207764, 0.04106094688177109, 0.5650629997253418, 0.000618715479504317, 0.03242717683315277, -0.13220301270484924, -0.19750288128852844, 0.10402510315179825, 0.009941888973116875, -0.0027225888334214687, 0.6094103455543518, -0.409201979637146]"
170,6021,"0.25888335704803467, -0.012634837999939919, -0.38860201835632324, 0.17549987137317657, 0.18032459914684296, 0.22307223081588745, -0.13686516880989075, -0.09696009755134583, 0.3382457494735718, 0.41346555948257446, 0.15488635003566742, -0.07211098819971085, 0.18402783572673798, -0.28881189227104187, 0.13592879474163055, 0.0990859642624855, -0.26720547676086426, 0.0423605851829052, 0.13164210319519043, 0.009709471836686134, 0.6657799482345581, 0.4449845254421234, -0.21450653672218323, 0.3988093137741089, 0.1885625272989273, 0.14532478153705597, 0.13119789958000183, -0.12240546941757202, 0.21011705696582794, 0.23322045803070068, 0.05290255695581436, 0.25576305389404297, -0.2827112674713135, -0.3313140869140625, 0.14929336309432983, -0.3891017735004425, 0.22366242110729218, 0.2069196254014969, -0.32538890838623047, 0.30704742670059204, 0.8336590528488159, -0.559359073638916, -0.43243467807769775, -0.4879794418811798, 0.28488314151763916, 0.27833476662635803, -0.14982835948467255, -0.012006071396172047, -0.040505167096853256, -0.2299988865852356, -0.14081905782222748, -0.3034689426422119, 0.6696428656578064, -0.08216828107833862, -0.09119278192520142, -0.17488552629947662, -0.3144306540489197, 0.23255948722362518, -0.18815253674983978, -0.1209203377366066, 0.29904311895370483, 0.16558130085468292, 0.2690153121948242, 0.4453265070915222]"
173,6029,"-0.34577226638793945, 0.2858937680721283, -0.22496630251407623, -0.2220834642648697, 0.34584423899650574, 0.2567014992237091, 0.09307458996772766, 0.6722872853279114, 0.3303949534893036, 0.2908206880092621, -0.10229723155498505, -0.045787230134010315, -0.17494958639144897, -0.21245640516281128, 0.16452287137508392, -0.14912262558937073, -0.24030546844005585, 0.04310496523976326, 0.09852201491594315, -0.09078721702098846, 0.6842438578605652, -0.01920592412352562, -0.1618967205286026, 0.20222806930541992, 0.11103899776935577, 0.421878457069397, 0.06665538996458054, -0.23291991651058197, -0.24372075498104095, 0.2003270983695984, -0.04508199542760849, 0.09976338595151901, -0.22489438951015472, -0.10781533271074295, -0.21079926192760468, -0.3479844033718109, 0.15330687165260315, 0.25911691784858704, 0.25744372606277466, -0.230134978890419, 0.5432217121124268, -0.5429635047912598, 0.08092373609542847, -0.21187253296375275, -0.20455607771873474, 0.2408212423324585, -0.06685633212327957, 0.21163487434387207, 0.14047515392303467, -0.15444053709506989, -0.02976961061358452, -0.5233160853385925, 0.4451736509799957, -0.21992698311805725, -0.3518624007701874, 0.1976606845855713, -0.3470061719417572, -0.15750262141227722, -0.3111562728881836, 0.1259685754776001, -0.23125381767749786, 0.2847020626068115, 0.21638138592243195, 0.13610635697841644]"
174,9832,"-0.02561376616358757, 0.1983153373003006, 0.030729707330465317, 0.11013299971818924, -0.05579225718975067, 0.13349443674087524, -0.1272120475769043, 0.6731581687927246, 0.369186669588089, 0.11027903109788895, -0.029316697269678116, 0.046950072050094604, -0.2241903394460678, -0.07644665986299515, 0.2953703999519348, 0.016795124858617783, 0.02360217086970806, -0.14174045622348785, 0.10163907706737518, 0.03493095561861992, 0.5786170959472656, 0.32346266508102417, -0.1186019703745842, 0.34377044439315796, 0.3216038644313812, 0.2352100908756256, -0.2443479597568512, 0.1608947366476059, -0.17387358844280243, 0.029901398345828056, 0.14257486164569855, 0.08797932416200638, -0.16458679735660553, -0.1372603178024292, -0.15870055556297302, 0.19695420563220978, 0.06788672506809235, 0.19840776920318604, 0.18668800592422485, 0.08978068828582764, 0.6072904467582703, -0.41141894459724426, -0.28691744804382324, -0.3398731052875519, 0.3087020516395569, 0.25544673204421997, 0.16372421383857727, -0.09705507755279541, 0.1917218565940857, -0.1396843045949936, -0.29379165172576904, -0.23056553304195404, 0.5605344772338867, 0.35953760147094727, -0.04821263253688812, 0.07513891905546188, 0.0341997966170311, -0.19833174347877502, -0.03843905031681061, -0.14559854567050934, 0.1427859365940094, 0.005241561681032181, -0.015609479509294033, -0.2036801129579544]"
175,39891,"-0.11314172297716141, 0.03051787242293358, 0.24385882914066315, 0.03722108528017998, -0.4620353877544403, 0.022132523357868195, 0.03160613402724266, 0.1926482915878296, 0.12231206893920898, -0.1324290931224823, 0.262142151594162, -0.12916021049022675, 0.030971059575676918, 0.0023581611458212137, 0.05438283830881119, 0.02436549961566925, -0.0866386890411377, -0.03820439428091049, -0.02621542662382126, -0.12132343649864197, -0.20198194682598114, -0.396007776260376, 0.07433073967695236, 0.05805213749408722, 0.04985911026597023, 0.02516094408929348, 0.06038789078593254, -0.5580241084098816, -0.15002959966659546, 0.05930298939347267, -0.07251163572072983, 0.013545647263526917, -0.060853298753499985, -0.04862233251333237, -0.06748221069574356, 0.0025541801005601883, -0.03781496733427048, -0.05326496809720993, -0.1710411012172699, -0.014914410188794136, 0.1648821383714676, -0.17633099853992462, -0.3810071647167206, 0.2548181712627411, -0.0666545107960701, 0.03487095981836319, -0.04682142287492752, -0.04260512813925743, -0.1212993636727333, 0.07726030796766281, 0.08503418415784836, 0.017965270206332207, -0.1050010547041893, -0.022771194577217102, 0.09167998284101486, -0.06844711303710938, 0.03648826479911804, -0.07377669960260391, -0.05403847619891167, 0.13852813839912415, -0.09000366926193237, -0.060277581214904785, 0.11212925612926483, -0.02042134664952755]"
176,40200,"-0.19068391621112823, 0.20633432269096375, 0.23005801439285278, -0.013332385569810867, -0.6050851941108704, 0.21335981786251068, 0.12433821707963943, 0.27283671498298645, 0.10662146657705307, -0.08331241458654404, 0.25298720598220825, -0.006572964135557413, 0.12239660322666168, 0.30538856983184814, 0.4176149368286133, 0.009445526637136936, -0.05593164265155792, -0.05841837078332901, 0.01231678482145071, -0.14920172095298767, -0.06402021646499634, -0.3610982596874237, 0.1552971601486206, -0.07459253817796707, -0.16665583848953247, -0.07195240259170532, 0.06124204769730568, -0.584486186504364, -0.3426758944988251, 0.4285230338573456, -0.2916969656944275, 0.14834704995155334, 0.10616083443164825, -0.11807161569595337, 0.0012382389977574348, 0.061952728778123856, -0.06767579168081284, 0.03296596184372902, -0.09341685473918915, 0.25019893050193787, 0.11349634826183319, 0.026780378073453903, -0.05194259062409401, 0.17219069600105286, 0.027719365432858467, 0.12381260097026825, 0.09214450418949127, 0.02654341049492359, -0.0969398245215416, 0.14701871573925018, 0.05899167060852051, -0.024144481867551804, -0.11515961587429047, 0.04737275838851929, 0.08421182632446289, -0.04922665283083916, -0.02789749763906002, -0.044461268931627274, 0.13036422431468964, 0.23452723026275635, -0.17871089279651642, -0.028023334220051765, 0.13419578969478607, 0.046349264681339264]"
177,40201,"-0.19116981327533722, 0.13004830479621887, 0.2631329596042633, 0.018529392778873444, -0.5553635954856873, 0.24344711005687714, -0.05401326343417168, 0.32009783387184143, 0.12985727190971375, -0.05600515380501747, 0.2667749524116516, -0.017591549083590508, 0.18751752376556396, 0.15670259296894073, 0.16262280941009521, 0.17049117386341095, 0.027959393337368965, -0.11324141174554825, -0.06478874385356903, -0.041688624769449234, -0.036259159445762634, -0.3165350556373596, 0.1182527169585228, 0.12954741716384888, 0.004984714090824127, -0.004597407765686512, 0.027052022516727448, -0.6380199193954468, -0.24952192604541779, -0.08319240063428879, 0.2643871307373047, 0.2143774777650833, -0.13882966339588165, 0.06514006853103638, 0.0257027056068182, -0.033971261233091354, -0.038079969584941864, 0.018099181354045868, -0.09913241863250732, 0.008064077235758305, 0.15209786593914032, -0.10250334441661835, -0.4948216676712036, 0.2952069640159607, 0.020127398893237114, 0.19388994574546814, -0.13912956416606903, 0.11217684298753738, -0.10977517813444138, 0.056300871074199677, 0.06867753714323044, 0.13366729021072388, -0.09511950612068176, 0.06021470949053764, 0.027638092637062073, -0.08437299728393555, 0.12934276461601257, -0.11121832579374313, -0.07603445649147034, 0.2231200933456421, -0.0800936296582222, -0.14391373097896576, 0.20880401134490967, 0.05390075966715813]"
178,40210,"-0.025427721440792084, -0.0742732360959053, 0.2886221408843994, 0.020469089969992638, -0.43474194407463074, -0.031900178641080856, 0.06463500112295151, 0.19877207279205322, 0.04340410977602005, -0.1088983565568924, 0.19794361293315887, -0.0856848657131195, 0.08376900851726532, -0.013005124405026436, -0.14899590611457825, -0.005032774526625872, -0.018260257318615913, -0.0024299025535583496, 0.09274274110794067, -0.11117061227560043, -0.09901499003171921, -0.29883095622062683, 0.047571662813425064, 0.04242263361811638, -0.07641107589006424, 0.1874684989452362, -0.05558014661073685, -0.5292825102806091, -0.019147127866744995, 0.22777913510799408, 0.08581943064928055, -0.11762779951095581, 0.06963202357292175, 0.10690101981163025, -0.07368219643831253, 0.003242943435907364, -0.03978132829070091, -0.18927134573459625, -0.24647192656993866, 0.15990296006202698, 0.15382206439971924, 0.13394440710544586, -0.019060153514146805, 0.010082799009978771, -0.05872218310832977, 0.02848757617175579, -0.029352964833378792, -0.0011969376355409622, -0.17051252722740173, 0.21370218694210052, 0.07985804975032806, -0.003821783931925893, -0.12474506348371506, -0.04141097143292427, 0.0851372703909874, -0.24482062458992004, -0.027818938717246056, -0.08470947295427322, 0.025043107569217682, 0.1646338254213333, -0.12715008854866028, 0.0012210612185299397, 0.11665988713502884, -0.09459186345338821]"
179,40211,"-0.1780824512243271, 0.26229923963546753, 0.22847703099250793, 0.10018657147884369, -0.42935824394226074, 0.07400362193584442, 0.06250176578760147, 0.2718104124069214, 0.018765157088637352, -0.1565205156803131, 0.32580623030662537, -0.06194300577044487, 0.061981599777936935, 0.007313926704227924, -0.011917727068066597, 0.12902367115020752, -0.04722066968679428, -0.16990302503108978, -0.06294890493154526, 0.01628509908914566, -0.003864569589495659, -0.14271827042102814, 0.20318852365016937, 0.005842259153723717, -0.010582735762000084, -0.007845847867429256, -0.010622038505971432, -0.6533349752426147, -0.22198323905467987, 0.18492287397384644, -0.04595252871513367, 0.10439972579479218, 0.05655423551797867, -0.17621076107025146, 0.05433562025427818, 0.05061129480600357, 0.012252047657966614, -0.15494120121002197, -0.08749105036258698, -0.09765028953552246, 0.15300333499908447, -0.14114053547382355, -0.3375156819820404, 0.25475582480430603, -0.1746939718723297, 0.17570321261882782, -0.023254962638020515, 0.03440951555967331, -0.21143759787082672, 0.21322980523109436, 0.028852788731455803, 0.02034997195005417, -0.11158739030361176, 0.011482339352369308, 0.14353330433368683, 0.08275803923606873, 0.088343545794487, 0.13186021149158478, -0.07746335864067078, 0.2371843010187149, -0.05922413617372513, -0.15905898809432983, 0.09780827909708023, 0.09930551052093506]"
180,40290,"-0.012373671866953373, -0.14175021648406982, 0.3188488483428955, 0.10793939232826233, -0.5350446701049805, -0.003912626300007105, -0.04289638251066208, 0.2301582545042038, 0.17429247498512268, -0.085764579474926, 0.34004953503608704, -0.03219635784626007, 0.19906888902187347, 0.22298981249332428, 0.3093301057815552, 0.07799554616212845, 0.13723205029964447, -0.05334803834557533, -0.06534497439861298, -0.20954358577728271, -0.1108747124671936, 0.08546226471662521, 0.03630703687667847, -0.08150442689657211, 0.013000459410250187, -0.0033525750041007996, -0.0008533378131687641, -0.6027501821517944, -0.2986281216144562, 0.18957488238811493, 0.1319064348936081, 0.08204149454832077, -0.09598654508590698, -0.07485207915306091, -0.005204471293836832, 0.018081948161125183, -0.03658115491271019, -0.05712393298745155, -0.3726518750190735, 0.08812133967876434, 0.23006941378116608, -0.032359834760427475, -0.4098278880119324, 0.15289078652858734, -0.14085814356803894, 0.16534246504306793, 0.023191552609205246, -0.006916017737239599, -0.20903633534908295, 0.194066122174263, 0.0563487634062767, 0.02678617835044861, -0.09489527344703674, -0.012517607770860195, 0.1216098815202713, 0.07887658476829529, -0.1494256556034088, -0.07516127824783325, 0.08069860935211182, 0.17832885682582855, -0.11556730419397354, -0.10357075929641724, 0.10199456661939621, 0.0565839447081089]"
181,40291,"-0.3035230338573456, 0.20243218541145325, 0.41061681509017944, 0.0032492741011083126, -0.5648190975189209, 0.14037227630615234, -0.03225031495094299, 0.09984739869832993, 0.02717837691307068, -0.16498295962810516, 0.04760710150003433, -0.05077427998185158, 0.2198849320411682, -0.07963702082633972, -0.39900851249694824, 0.22193171083927155, -0.021775398403406143, -0.21935351192951202, -0.19038285315036774, -0.1454709768295288, 0.035820864140987396, -0.045592404901981354, 0.06948412954807281, 0.2630257308483124, 0.01183865126222372, 0.01643720269203186, -0.01747054234147072, -0.420835018157959, -0.02105962671339512, -0.10320483893156052, -0.22929014265537262, 0.30828458070755005, 0.20860789716243744, -0.19050678610801697, 0.041026514023542404, 0.038511972874403, 0.09258367866277695, -0.14714741706848145, -0.11615963280200958, 0.007628974039107561, 0.14770521223545074, -0.07767854630947113, -0.1958024948835373, 0.054229333996772766, 0.09988585114479065, 0.07159020006656647, 0.22883956134319305, -0.16254834830760956, -0.25174903869628906, 0.27077123522758484, 0.01829707995057106, 0.00903854239732027, 0.015372833237051964, -0.023964898660779, 0.12015637010335922, -0.055499233305454254, -0.07525380700826645, -0.0358755886554718, -0.026452548801898956, 0.2044881135225296, -0.04599659517407417, 0.05079491436481476, 0.21309886872768402, 0.03852088376879692]"
182,42820,"-0.038035232573747635, -0.14937999844551086, 0.32001441717147827, 0.006750296335667372, -0.48259031772613525, 0.060856085270643234, -0.017837343737483025, 0.2691227197647095, 0.18363988399505615, -0.10496430099010468, 0.3157670199871063, -0.08551476150751114, 0.060506220906972885, 0.06727218627929688, 0.2616654634475708, 0.10750027000904083, 0.06924737244844437, -0.04444001615047455, 0.048171740025281906, -0.08877213299274445, -0.1006423756480217, -0.3398546278476715, 0.1302228569984436, -0.09798838198184967, 0.0032482161186635494, -0.09258420020341873, 0.21836651861667633, -0.15024752914905548, -0.5290910601615906, 0.5274947285652161, -0.3383199870586395, 0.16567334532737732, 0.05182782560586929, -0.060804106295108795, 0.01853759214282036, -0.07814345508813858, -0.011783156543970108, 0.026390358805656433, -0.2944539487361908, 0.15142817795276642, 0.2269245684146881, 0.08562593162059784, 0.06140046566724777, -0.10763121396303177, -0.06464351713657379, 0.07172427326440811, -0.12086638808250427, 0.04596998170018196, -0.16366659104824066, 0.42171093821525574, -0.056945402175188065, 0.00550040602684021, -0.12432964891195297, -0.010457964614033699, 0.05470740422606468, 0.0554034560918808, -0.19202028214931488, 0.1278260350227356, -0.006581105757504702, 0.4133100211620331, 0.0780821219086647, -0.1849193423986435, 0.18646223843097687, 0.07963573187589645]"
183,42821,"-0.14148856699466705, 0.3024310767650604, 0.3787718713283539, 0.008815824054181576, -0.5533068776130676, 0.16944395005702972, 0.116590715944767, 0.1603294014930725, 0.059110384434461594, -0.11217258870601654, 0.1846190094947815, 0.006895977072417736, 0.09018585085868835, 0.0628071203827858, -0.06002137437462807, 0.21305277943611145, -0.05455263704061508, -0.0511258989572525, 0.048253290355205536, -0.22588995099067688, -0.020146172493696213, -0.3391503691673279, 0.19930440187454224, 0.051121555268764496, -0.10526515543460846, 0.0377662219107151, -0.0011859254445880651, -0.41127559542655945, -0.34606584906578064, 0.16634516417980194, 0.18313972651958466, 0.2989780604839325, -0.12724320590496063, -0.09372631460428238, 0.03274277225136757, 0.04649355635046959, 0.0015175617299973965, 0.05805489048361778, -0.19110257923603058, -0.01541470643132925, 0.17645123600959778, -0.08840826153755188, -0.41623392701148987, 0.2181134819984436, 0.19368012249469757, -0.004473646637052298, 0.023101629689335823, -0.13303890824317932, -0.1572072058916092, 0.1131652295589447, -0.054238706827163696, -0.03686182573437691, -0.04091934487223625, 0.09267380833625793, -0.12592725455760956, -0.16838744282722473, 0.04773575812578201, -0.02843586355447769, -0.006677732337266207, 0.21390117704868317, -0.20779021084308624, -0.06884412467479706, 0.14396820962429047, 0.08852839469909668]"
184,42822,"-0.1032547876238823, -0.0808427482843399, -0.11423470079898834, 0.06227011978626251, -0.45393887162208557, 0.23557545244693756, 0.24724681675434113, 0.20116159319877625, 0.03303992375731468, -0.05670173838734627, 0.18359871208667755, 0.1039632111787796, 0.04004004970192909, 0.0989009216427803, 0.19913004338741302, -0.0073842196725308895, -0.08847064524888992, -0.05496891960501671, -0.1831209510564804, 0.002251015044748783, -0.209808811545372, -0.11320646852254868, -0.13570214807987213, 0.03993312641978264, 0.03282831609249115, -0.032347168773412704, -0.003526604501530528, -0.6841040849685669, -0.22567643225193024, 0.15887121856212616, -0.017617305740714073, -0.021538032218813896, 0.021297011524438858, -0.03980036824941635, -0.07877497375011444, -0.019808676093816757, -0.06570001691579819, -0.0374724343419075, -0.23439353704452515, -0.0038301022723317146, 0.15053658187389374, 0.4418594539165497, 0.02655244804918766, -0.28161299228668213, -0.02412319928407669, -0.013857093639671803, 0.04255254194140434, 0.10216238349676132, -0.42849481105804443, 0.30199313163757324, -0.01578475721180439, -0.015922171995043755, -0.046294018626213074, -0.04153348505496979, 0.03290847688913345, -0.006266006268560886, -0.0410594642162323, -0.07225045561790466, -0.08754926174879074, 0.28554338216781616, -0.1340511441230774, -0.07923102378845215, 0.04648745432496071, 0.1585126668214798]"
185,42823,"-0.1388910412788391, 0.07713477313518524, 0.12009316682815552, 0.20367327332496643, -0.6211333870887756, 0.13908998668193817, 0.21518132090568542, 0.3559281527996063, 0.11856202036142349, -0.06453810632228851, 0.1862274557352066, 0.050971634685993195, 0.12298855185508728, -0.01332705095410347, 0.001698993844911456, -0.04043516144156456, 0.01811620406806469, 0.024326186627149582, 0.08506754040718079, -0.046026811003685, -0.024967998266220093, -0.329689085483551, 0.20172029733657837, -0.0035525327548384666, 0.11441931873559952, -0.013133715838193893, -0.006064577493816614, -0.4923304617404938, -0.021549159660935402, 0.07896722853183746, 0.026378123089671135, -0.1360550820827484, 0.008532197214663029, 0.020234903320670128, -0.08969897031784058, -0.021339047700166702, 0.10714426636695862, 0.08327040076255798, -0.07356713712215424, 0.0411161333322525, 0.1060456708073616, -0.031908199191093445, -0.06730064749717712, 0.11113469302654266, 0.047031886875629425, -0.026613879948854446, -0.00487281009554863, 0.06646507233381271, -0.49563464522361755, 0.5332971215248108, 0.02952772006392479, 0.0625346228480339, -0.04511270672082901, -0.041485950350761414, 0.0021299750078469515, -0.12182507663965225, 0.1448877900838852, -0.17290295660495758, -0.1320810467004776, 0.2613492012023926, -0.07979902625083923, 0.04833542928099632, 0.2052357941865921, -0.05713462084531784]"
